property_id	property_name	property_type	bhk	price_min	price_max	city	state	location	status	developer
P0018	Chatrapati Nagar Elite	Apartment	3	6200000	8500000	Nagpur	Maharashtra	Chatrapati Nagar	Available	Enclave Group
P0019	Narendra Nagar Residency	Apartment	2	4300000	5900000	Nagpur	Maharashtra	Narendra Nagar	Available	Narendra Infra
P0020	Narendra Nagar Residency Lux	Apartment	3	6600000	9000000	Nagpur	Maharashtra	Narendra Nagar	Available	Narendra Infra
P0021	Hingna Road Tech Homes	Apartment	1	2500000	3300000	Nagpur	Maharashtra	Hingna Road	Available	TechBuild
P0022	Hingna Road Tech Homes Plus	Apartment	2	3500000	4800000	Nagpur	Maharashtra	Hingna Road	Available	TechBuild
P0023	Hingna Road Tech Villas	Villa	3	7800000	9800000	Nagpur	Maharashtra	Hingna Road	Available	TechBuild
P0024	Mahalaxmi Nagar Flats	Apartment	2	3900000	5200000	Nagpur	Maharashtra	Mahalaxmi Nagar	Available	Mahalaxmi Infra
P0025	Mahalaxmi Nagar Elite	Apartment	3	6100000	8200000	Nagpur	Maharashtra	Mahalaxmi Nagar	Available	Mahalaxmi Infra
P0026	Somalwada Residency	Apartment	2	4100000	5600000	Nagpur	Maharashtra	Somalwada	Available	Somalwada Group
P0027	Somalwada Residency Plus	Apartment	3	6400000	8700000	Nagpur	Maharashtra	Somalwada	Available	Somalwada Group
P0028	Bajaj Nagar Comfort Homes	Apartment	1	2700000	3500000	Nagpur	Maharashtra	Bajaj Nagar	Available	Comfort Builders
P0029	Bajaj Nagar Comfort Plus	Apartment	2	3700000	4900000	Nagpur	Maharashtra	Bajaj Nagar	Available	Comfort Builders
P0030	Bajaj Nagar Comfort Elite	Apartment	3	5900000	7800000	Nagpur	Maharashtra	Bajaj Nagar	Available	Comfort Builders
P0031	Rosetta Stone Honey Hills Villa	Villa	2	5120000	5120000	Nagpur	Maharashtra	Amravati Road	Available	Honey Hills Infra
P0032	Om Shiv Kailasa	Apartment	2.5	4780000	6780000	Nagpur	Maharashtra	Wardha Road	Available	Om Shiv Builders
P0033	MIHAN Residency Phase 1	Apartment	2	3800000	5200000	Nagpur	Maharashtra	MIHAN	Upcoming	MIHAN Developers
P0034	MIHAN Residency Phase 2	Apartment	3	5200000	7200000	Nagpur	Maharashtra	MIHAN	Available	MIHAN Developers
P0035	Trimurti Nagar Heights	Apartment	2	4200000	5800000	Nagpur	Maharashtra	Trimurti Nagar	Available	Trimurti Group
P0036	Manish Nagar Elite	Apartment	3	6000000	8200000	Nagpur	Maharashtra	Manish Nagar	Available	Elite Builders
P0037	Besa Premium Homes	Apartment	2	3900000	5400000	Nagpur	Maharashtra	Besa	Available	Besa Infra
P0038	Besa Luxury Villas	Villa	3	8500000	11000000	Nagpur	Maharashtra	Besa	Available	Besa Infra
P0039	Wardha Road Skyview	Apartment	2	4100000	5600000	Nagpur	Maharashtra	Wardha Road	Available	Skyline Group
P0040	Wardha Road Skyview Plus	Apartment	3	5800000	7600000	Nagpur	Maharashtra	Wardha Road	Available	Skyline Group
P0041	Amravati Road Greens	Apartment	1	2800000	3600000	Nagpur	Maharashtra	Amravati Road	Available	Greenfield Builders
P0042	Amravati Road Greens Plus	Apartment	2	3800000	5200000	Nagpur	Maharashtra	Amravati Road	Available	Greenfield Builders
P0043	Central Nagpur Residency	Apartment	2	4500000	6200000	Nagpur	Maharashtra	Dharampeth	Available	Central Infra
P0044	Central Nagpur Residency Lux	Apartment	3	6500000	8800000	Nagpur	Maharashtra	Dharampeth	Available	Central Infra
P0045	Medical Square Homes	Apartment	1	2600000	3400000	Nagpur	Maharashtra	Medical Square	Available	HealthCity Builders
P0046	Medical Square Homes Plus	Apartment	2	3600000	4800000	Nagpur	Maharashtra	Medical Square	Available	HealthCity Builders
P0047	Chatrapati Nagar Enclave	Apartment	2	4000000	5600000	Nagpur	Maharashtra	Chatrapati Nagar	Available	Enclave Group
P0048	Chatrapati Nagar Elite	Apartment	3	6200000	8500000	Nagpur	Maharashtra	Chatrapati Nagar	Available	Enclave Group
P0049	Narendra Nagar Residency	Apartment	2	4300000	5900000	Nagpur	Maharashtra	Narendra Nagar	Available	Narendra Infra
P0050	Narendra Nagar Residency Lux	Apartment	3	6600000	9000000	Nagpur	Maharashtra	Narendra Nagar	Available	Narendra Infra
P0051	Hingna Road Tech Homes	Apartment	1	2500000	3300000	Nagpur	Maharashtra	Hingna Road	Available	TechBuild
P0052	Hingna Road Tech Homes Plus	Apartment	2	3500000	4800000	Nagpur	Maharashtra	Hingna Road	Available	TechBuild
P0053	Hingna Road Tech Villas	Villa	3	7800000	9800000	Nagpur	Maharashtra	Hingna Road	Available	TechBuild
P0054	Mahalaxmi Nagar Flats	Apartment	2	3900000	5200000	Nagpur	Maharashtra	Mahalaxmi Nagar	Available	Mahalaxmi Infra
P0055	Mahalaxmi Nagar Elite	Apartment	3	6100000	8200000	Nagpur	Maharashtra	Mahalaxmi Nagar	Available	Mahalaxmi Infra
P0056	Somalwada Residency	Apartment	2	4100000	5600000	Nagpur	Maharashtra	Somalwada	Available	Somalwada Group
P0057	Somalwada Residency Plus	Apartment	3	6400000	8700000	Nagpur	Maharashtra	Somalwada	Available	Somalwada Group
P0058	Bajaj Nagar Comfort Homes	Apartment	1	2700000	3500000	Nagpur	Maharashtra	Bajaj Nagar	Available	Comfort Builders
P0059	Bajaj Nagar Comfort Plus	Apartment	2	3700000	4900000	Nagpur	Maharashtra	Bajaj Nagar	Available	Comfort Builders
P0060	Bajaj Nagar Comfort Elite	Apartment	3	5900000	7800000	Nagpur	Maharashtra	Bajaj Nagar	Available	Comfort Builders
P0061	Rosetta Stone Honey Hills Villa	Villa	2	5120000	5120000	Nagpur	Maharashtra	Amravati Road	Available	Honey Hills Infra
P0062	Om Shiv Kailasa	Apartment	2.5	4780000	6780000	Nagpur	Maharashtra	Wardha Road	Available	Om Shiv Builders
P0063	MIHAN Residency Phase 1	Apartment	2	3800000	5200000	Nagpur	Maharashtra	MIHAN	Upcoming	MIHAN Developers
P0064	MIHAN Residency Phase 2	Apartment	3	5200000	7200000	Nagpur	Maharashtra	MIHAN	Available	MIHAN Developers
P0065	Trimurti Nagar Heights	Apartment	2	4200000	5800000	Nagpur	Maharashtra	Trimurti Nagar	Available	Trimurti Group
P0066	Manish Nagar Elite	Apartment	3	6000000	8200000	Nagpur	Maharashtra	Manish Nagar	Available	Elite Builders
P0067	Besa Premium Homes	Apartment	2	3900000	5400000	Nagpur	Maharashtra	Besa	Available	Besa Infra
P0068	Besa Luxury Villas	Villa	3	8500000	11000000	Nagpur	Maharashtra	Besa	Available	Besa Infra
P0069	Wardha Road Skyview	Apartment	2	4100000	5600000	Nagpur	Maharashtra	Wardha Road	Available	Skyline Group
P0070	Wardha Road Skyview Plus	Apartment	3	5800000	7600000	Nagpur	Maharashtra	Wardha Road	Available	Skyline Group
P0071	Amravati Road Greens	Apartment	1	2800000	3600000	Nagpur	Maharashtra	Amravati Road	Available	Greenfield Builders
P0072	Amravati Road Greens Plus	Apartment	2	3800000	5200000	Nagpur	Maharashtra	Amravati Road	Available	Greenfield Builders
P0073	Central Nagpur Residency	Apartment	2	4500000	6200000	Nagpur	Maharashtra	Dharampeth	Available	Central Infra
P0074	Central Nagpur Residency Lux	Apartment	3	6500000	8800000	Nagpur	Maharashtra	Dharampeth	Available	Central Infra
P0075	Medical Square Homes	Apartment	1	2600000	3400000	Nagpur	Maharashtra	Medical Square	Available	HealthCity Builders
P0076	Medical Square Homes Plus	Apartment	2	3600000	4800000	Nagpur	Maharashtra	Medical Square	Available	HealthCity Builders
P0077	Chatrapati Nagar Enclave	Apartment	2	4000000	5600000	Nagpur	Maharashtra	Chatrapati Nagar	Available	Enclave Group
P0078	Chatrapati Nagar Elite	Apartment	3	6200000	8500000	Nagpur	Maharashtra	Chatrapati Nagar	Available	Enclave Group
P0079	Narendra Nagar Residency	Apartment	2	4300000	5900000	Nagpur	Maharashtra	Narendra Nagar	Available	Narendra Infra
P0080	Narendra Nagar Residency Lux	Apartment	3	6600000	9000000	Nagpur	Maharashtra	Narendra Nagar	Available	Narendra Infra
P0081	Hingna Road Tech Homes	Apartment	1	2500000	3300000	Nagpur	Maharashtra	Hingna Road	Available	TechBuild
P0082	Hingna Road Tech Homes Plus	Apartment	2	3500000	4800000	Nagpur	Maharashtra	Hingna Road	Available	TechBuild
P0083	Hingna Road Tech Villas	Villa	3	7800000	9800000	Nagpur	Maharashtra	Hingna Road	Available	TechBuild
P0084	Mahalaxmi Nagar Flats	Apartment	2	3900000	5200000	Nagpur	Maharashtra	Mahalaxmi Nagar	Available	Mahalaxmi Infra
P0085	Mahalaxmi Nagar Elite	Apartment	3	6100000	8200000	Nagpur	Maharashtra	Mahalaxmi Nagar	Available	Mahalaxmi Infra
P0086	Somalwada Residency	Apartment	2	4100000	5600000	Nagpur	Maharashtra	Somalwada	Available	Somalwada Group
P0087	Somalwada Residency Plus	Apartment	3	6400000	8700000	Nagpur	Maharashtra	Somalwada	Available	Somalwada Group
P0088	Bajaj Nagar Comfort Homes	Apartment	1	2700000	3500000	Nagpur	Maharashtra	Bajaj Nagar	Available	Comfort Builders
P0089	Bajaj Nagar Comfort Plus	Apartment	2	3700000	4900000	Nagpur	Maharashtra	Bajaj Nagar	Available	Comfort Builders
P0090	Bajaj Nagar Comfort Elite	Apartment	3	5900000	7800000	Nagpur	Maharashtra	Bajaj Nagar	Available	Comfort Builders
P0091	Rosetta Stone Honey Hills Villa	Villa	2	5120000	5120000	Nagpur	Maharashtra	Amravati Road	Available	Honey Hills Infra
P0092	Om Shiv Kailasa	Apartment	2.5	4780000	6780000	Nagpur	Maharashtra	Wardha Road	Available	Om Shiv Builders
P0093	MIHAN Residency Phase 1	Apartment	2	3800000	5200000	Nagpur	Maharashtra	MIHAN	Upcoming	MIHAN Developers
P0094	MIHAN Residency Phase 2	Apartment	3	5200000	7200000	Nagpur	Maharashtra	MIHAN	Available	MIHAN Developers
P0095	Trimurti Nagar Heights	Apartment	2	4200000	5800000	Nagpur	Maharashtra	Trimurti Nagar	Available	Trimurti Group
P0096	Manish Nagar Elite	Apartment	3	6000000	8200000	Nagpur	Maharashtra	Manish Nagar	Available	Elite Builders
P0097	Besa Premium Homes	Apartment	2	3900000	5400000	Nagpur	Maharashtra	Besa	Available	Besa Infra
P0098	Besa Luxury Villas	Villa	3	8500000	11000000	Nagpur	Maharashtra	Besa	Available	Besa Infra
P0099	Wardha Road Skyview	Apartment	2	4100000	5600000	Nagpur	Maharashtra	Wardha Road	Available	Skyline Group
P0100	Wardha Road Skyview Plus	Apartment	3	5800000	7600000	Nagpur	Maharashtra	Wardha Road	Available	Skyline Group
P0101	Amravati Road Greens	Apartment	1	2800000	3600000	Nagpur	Maharashtra	Amravati Road	Available	Greenfield Builders
P0102	Amravati Road Greens Plus	Apartment	2	3800000	5200000	Nagpur	Maharashtra	Amravati Road	Available	Greenfield Builders
P0103	Central Nagpur Residency	Apartment	2	4500000	6200000	Nagpur	Maharashtra	Dharampeth	Available	Central Infra
P0104	Central Nagpur Residency Lux	Apartment	3	6500000	8800000	Nagpur	Maharashtra	Dharampeth	Available	Central Infra
P0105	Medical Square Homes	Apartment	1	2600000	3400000	Nagpur	Maharashtra	Medical Square	Available	HealthCity Builders
P0106	Medical Square Homes Plus	Apartment	2	3600000	4800000	Nagpur	Maharashtra	Medical Square	Available	HealthCity Builders
P0107	Chatrapati Nagar Enclave	Apartment	2	4000000	5600000	Nagpur	Maharashtra	Chatrapati Nagar	Available	Enclave Group
P0108	Chatrapati Nagar Elite	Apartment	3	6200000	8500000	Nagpur	Maharashtra	Chatrapati Nagar	Available	Enclave Group
P0109	Narendra Nagar Residency	Apartment	2	4300000	5900000	Nagpur	Maharashtra	Narendra Nagar	Available	Narendra Infra
P0110	Narendra Nagar Residency Lux	Apartment	3	6600000	9000000	Nagpur	Maharashtra	Narendra Nagar	Available	Narendra Infra
P0111	Hingna Road Tech Homes	Apartment	1	2500000	3300000	Nagpur	Maharashtra	Hingna Road	Available	TechBuild
P0112	Hingna Road Tech Homes Plus	Apartment	2	3500000	4800000	Nagpur	Maharashtra	Hingna Road	Available	TechBuild
P0113	Hingna Road Tech Villas	Villa	3	7800000	9800000	Nagpur	Maharashtra	Hingna Road	Available	TechBuild
P0114	Mahalaxmi Nagar Flats	Apartment	2	3900000	5200000	Nagpur	Maharashtra	Mahalaxmi Nagar	Available	Mahalaxmi Infra
P0115	Mahalaxmi Nagar Elite	Apartment	3	6100000	8200000	Nagpur	Maharashtra	Mahalaxmi Nagar	Available	Mahalaxmi Infra
P0116	Somalwada Residency	Apartment	2	4100000	5600000	Nagpur	Maharashtra	Somalwada	Available	Somalwada Group
P0117	Somalwada Residency Plus	Apartment	3	6400000	8700000	Nagpur	Maharashtra	Somalwada	Available	Somalwada Group
P0118	Bajaj Nagar Comfort Homes	Apartment	1	2700000	3500000	Nagpur	Maharashtra	Bajaj Nagar	Available	Comfort Builders
P0119	Bajaj Nagar Comfort Plus	Apartment	2	3700000	4900000	Nagpur	Maharashtra	Bajaj Nagar	Available	Comfort Builders
P0120	Bajaj Nagar Comfort Elite	Apartment	3	5900000	7800000	Nagpur	Maharashtra	Bajaj Nagar	Available	Comfort Builders
P0121	Rosetta Stone Honey Hills Villa	Villa	2	5120000	5120000	Nagpur	Maharashtra	Amravati Road	Available	Honey Hills Infra
P0122	Om Shiv Kailasa	Apartment	2.5	4780000	6780000	Nagpur	Maharashtra	Wardha Road	Available	Om Shiv Builders
P0123	MIHAN Residency Phase 1	Apartment	2	3800000	5200000	Nagpur	Maharashtra	MIHAN	Upcoming	MIHAN Developers
P0124	MIHAN Residency Phase 2	Apartment	3	5200000	7200000	Nagpur	Maharashtra	MIHAN	Available	MIHAN Developers
P0125	Trimurti Nagar Heights	Apartment	2	4200000	5800000	Nagpur	Maharashtra	Trimurti Nagar	Available	Trimurti Group
P0126	Manish Nagar Elite	Apartment	3	6000000	8200000	Nagpur	Maharashtra	Manish Nagar	Available	Elite Builders
P0127	Besa Premium Homes	Apartment	2	3900000	5400000	Nagpur	Maharashtra	Besa	Available	Besa Infra
P0128	Besa Luxury Villas	Villa	3	8500000	11000000	Nagpur	Maharashtra	Besa	Available	Besa Infra
P0129	Wardha Road Skyview	Apartment	2	4100000	5600000	Nagpur	Maharashtra	Wardha Road	Available	Skyline Group
P0130	Wardha Road Skyview Plus	Apartment	3	5800000	7600000	Nagpur	Maharashtra	Wardha Road	Available	Skyline Group
P0131	Amravati Road Greens	Apartment	1	2800000	3600000	Nagpur	Maharashtra	Amravati Road	Available	Greenfield Builders
P0132	Amravati Road Greens Plus	Apartment	2	3800000	5200000	Nagpur	Maharashtra	Amravati Road	Available	Greenfield Builders
P0133	Central Nagpur Residency	Apartment	2	4500000	6200000	Nagpur	Maharashtra	Dharampeth	Available	Central Infra
P0134	Central Nagpur Residency Lux	Apartment	3	6500000	8800000	Nagpur	Maharashtra	Dharampeth	Available	Central Infra
P0135	Medical Square Homes	Apartment	1	2600000	3400000	Nagpur	Maharashtra	Medical Square	Available	HealthCity Builders
P0136	Medical Square Homes Plus	Apartment	2	3600000	4800000	Nagpur	Maharashtra	Medical Square	Available	HealthCity Builders
P0137	Chatrapati Nagar Enclave	Apartment	2	4000000	5600000	Nagpur	Maharashtra	Chatrapati Nagar	Available	Enclave Group
P0138	Chatrapati Nagar Elite	Apartment	3	6200000	8500000	Nagpur	Maharashtra	Chatrapati Nagar	Available	Enclave Group
P0139	Narendra Nagar Residency	Apartment	2	4300000	5900000	Nagpur	Maharashtra	Narendra Nagar	Available	Narendra Infra
P0140	Narendra Nagar Residency Lux	Apartment	3	6600000	9000000	Nagpur	Maharashtra	Narendra Nagar	Available	Narendra Infra
P0141	Hingna Road Tech Homes	Apartment	1	2500000	3300000	Nagpur	Maharashtra	Hingna Road	Available	TechBuild
P0142	Hingna Road Tech Homes Plus	Apartment	2	3500000	4800000	Nagpur	Maharashtra	Hingna Road	Available	TechBuild
P0143	Hingna Road Tech Villas	Villa	3	7800000	9800000	Nagpur	Maharashtra	Hingna Road	Available	TechBuild
P0144	Mahalaxmi Nagar Flats	Apartment	2	3900000	5200000	Nagpur	Maharashtra	Mahalaxmi Nagar	Available	Mahalaxmi Infra
P0145	Mahalaxmi Nagar Elite	Apartment	3	6100000	8200000	Nagpur	Maharashtra	Mahalaxmi Nagar	Available	Mahalaxmi Infra
P0146	Somalwada Residency	Apartment	2	4100000	5600000	Nagpur	Maharashtra	Somalwada	Available	Somalwada Group
P0147	Somalwada Residency Plus	Apartment	3	6400000	8700000	Nagpur	Maharashtra	Somalwada	Available	Somalwada Group
P0148	Bajaj Nagar Comfort Homes	Apartment	1	2700000	3500000	Nagpur	Maharashtra	Bajaj Nagar	Available	Comfort Builders
P0149	Bajaj Nagar Comfort Plus	Apartment	2	3700000	4900000	Nagpur	Maharashtra	Bajaj Nagar	Available	Comfort Builders
P0150	Bajaj Nagar Comfort Elite	Apartment	3	5900000	7800000	Nagpur	Maharashtra	Bajaj Nagar	Available	Comfort Builders
P0151	Rosetta Stone Honey Hills Villa	Villa	2	5120000	5120000	Nagpur	Maharashtra	Amravati Road	Available	Honey Hills Infra
P0152	Om Shiv Kailasa	Apartment	2.5	4780000	6780000	Nagpur	Maharashtra	Wardha Road	Available	Om Shiv Builders
P0153	MIHAN Residency Phase 1	Apartment	2	3800000	5200000	Nagpur	Maharashtra	MIHAN	Upcoming	MIHAN Developers
P0154	MIHAN Residency Phase 2	Apartment	3	5200000	7200000	Nagpur	Maharashtra	MIHAN	Available	MIHAN Developers
P0155	Trimurti Nagar Heights	Apartment	2	4200000	5800000	Nagpur	Maharashtra	Trimurti Nagar	Available	Trimurti Group
P0156	Manish Nagar Elite	Apartment	3	6000000	8200000	Nagpur	Maharashtra	Manish Nagar	Available	Elite Builders
P0157	Besa Premium Homes	Apartment	2	3900000	5400000	Nagpur	Maharashtra	Besa	Available	Besa Infra
P0158	Besa Luxury Villas	Villa	3	8500000	11000000	Nagpur	Maharashtra	Besa	Available	Besa Infra
P0159	Wardha Road Skyview	Apartment	2	4100000	5600000	Nagpur	Maharashtra	Wardha Road	Available	Skyline Group
P0160	Wardha Road Skyview Plus	Apartment	3	5800000	7600000	Nagpur	Maharashtra	Wardha Road	Available	Skyline Group
P0161	Amravati Road Greens	Apartment	1	2800000	3600000	Nagpur	Maharashtra	Amravati Road	Available	Greenfield Builders
P0162	Amravati Road Greens Plus	Apartment	2	3800000	5200000	Nagpur	Maharashtra	Amravati Road	Available	Greenfield Builders
P0163	Central Nagpur Residency	Apartment	2	4500000	6200000	Nagpur	Maharashtra	Dharampeth	Available	Central Infra
P0164	Central Nagpur Residency Lux	Apartment	3	6500000	8800000	Nagpur	Maharashtra	Dharampeth	Available	Central Infra
P0165	Medical Square Homes	Apartment	1	2600000	3400000	Nagpur	Maharashtra	Medical Square	Available	HealthCity Builders
P0166	Medical Square Homes Plus	Apartment	2	3600000	4800000	Nagpur	Maharashtra	Medical Square	Available	HealthCity Builders
P0167	Chatrapati Nagar Enclave	Apartment	2	4000000	5600000	Nagpur	Maharashtra	Chatrapati Nagar	Available	Enclave Group
P0168	Chatrapati Nagar Elite	Apartment	3	6200000	8500000	Nagpur	Maharashtra	Chatrapati Nagar	Available	Enclave Group
P0169	Narendra Nagar Residency	Apartment	2	4300000	5900000	Nagpur	Maharashtra	Narendra Nagar	Available	Narendra Infra
P0170	Narendra Nagar Residency Lux	Apartment	3	6600000	9000000	Nagpur	Maharashtra	Narendra Nagar	Available	Narendra Infra
P0171	Hingna Road Tech Homes	Apartment	1	2500000	3300000	Nagpur	Maharashtra	Hingna Road	Available	TechBuild
P0172	Hingna Road Tech Homes Plus	Apartment	2	3500000	4800000	Nagpur	Maharashtra	Hingna Road	Available	TechBuild
P0173	Hingna Road Tech Villas	Villa	3	7800000	9800000	Nagpur	Maharashtra	Hingna Road	Available	TechBuild
P0174	Mahalaxmi Nagar Flats	Apartment	2	3900000	5200000	Nagpur	Maharashtra	Mahalaxmi Nagar	Available	Mahalaxmi Infra
P0175	Mahalaxmi Nagar Elite	Apartment	3	6100000	8200000	Nagpur	Maharashtra	Mahalaxmi Nagar	Available	Mahalaxmi Infra
P0176	Somalwada Residency	Apartment	2	4100000	5600000	Nagpur	Maharashtra	Somalwada	Available	Somalwada Group
P0177	Somalwada Residency Plus	Apartment	3	6400000	8700000	Nagpur	Maharashtra	Somalwada	Available	Somalwada Group
P0178	Bajaj Nagar Comfort Homes	Apartment	1	2700000	3500000	Nagpur	Maharashtra	Bajaj Nagar	Available	Comfort Builders
P0179	Bajaj Nagar Comfort Plus	Apartment	2	3700000	4900000	Nagpur	Maharashtra	Bajaj Nagar	Available	Comfort Builders
P0180	Bajaj Nagar Comfort Elite	Apartment	3	5900000	7800000	Nagpur	Maharashtra	Bajaj Nagar	Available	Comfort Builders
P0181	Rosetta Stone Honey Hills Villa	Villa	2	5120000	5120000	Nagpur	Maharashtra	Amravati Road	Available	Honey Hills Infra
P0182	Om Shiv Kailasa	Apartment	2.5	4780000	6780000	Nagpur	Maharashtra	Wardha Road	Available	Om Shiv Builders
P0183	MIHAN Residency Phase 1	Apartment	2	3800000	5200000	Nagpur	Maharashtra	MIHAN	Upcoming	MIHAN Developers
P0184	MIHAN Residency Phase 2	Apartment	3	5200000	7200000	Nagpur	Maharashtra	MIHAN	Available	MIHAN Developers
P0185	Trimurti Nagar Heights	Apartment	2	4200000	5800000	Nagpur	Maharashtra	Trimurti Nagar	Available	Trimurti Group
P0186	Manish Nagar Elite	Apartment	3	6000000	8200000	Nagpur	Maharashtra	Manish Nagar	Available	Elite Builders
P0187	Besa Premium Homes	Apartment	2	3900000	5400000	Nagpur	Maharashtra	Besa	Available	Besa Infra
P0188	Besa Luxury Villas	Villa	3	8500000	11000000	Nagpur	Maharashtra	Besa	Available	Besa Infra
P0189	Wardha Road Skyview	Apartment	2	4100000	5600000	Nagpur	Maharashtra	Wardha Road	Available	Skyline Group
P0190	Wardha Road Skyview Plus	Apartment	3	5800000	7600000	Nagpur	Maharashtra	Wardha Road	Available	Skyline Group
P0191	Amravati Road Greens	Apartment	1	2800000	3600000	Nagpur	Maharashtra	Amravati Road	Available	Greenfield Builders
P0192	Amravati Road Greens Plus	Apartment	2	3800000	5200000	Nagpur	Maharashtra	Amravati Road	Available	Greenfield Builders
P0193	Central Nagpur Residency	Apartment	2	4500000	6200000	Nagpur	Maharashtra	Dharampeth	Available	Central Infra
P0194	Central Nagpur Residency Lux	Apartment	3	6500000	8800000	Nagpur	Maharashtra	Dharampeth	Available	Central Infra
P0195	Medical Square Homes	Apartment	1	2600000	3400000	Nagpur	Maharashtra	Medical Square	Available	HealthCity Builders
P0196	Medical Square Homes Plus	Apartment	2	3600000	4800000	Nagpur	Maharashtra	Medical Square	Available	HealthCity Builders
P0197	Chatrapati Nagar Enclave	Apartment	2	4000000	5600000	Nagpur	Maharashtra	Chatrapati Nagar	Available	Enclave Group
P0198	Chatrapati Nagar Elite	Apartment	3	6200000	8500000	Nagpur	Maharashtra	Chatrapati Nagar	Available	Enclave Group
P0199	Narendra Nagar Residency	Apartment	2	4300000	5900000	Nagpur	Maharashtra	Narendra Nagar	Available	Narendra Infra
P0200	Narendra Nagar Residency Lux	Apartment	3	6600000	9000000	Nagpur	Maharashtra	Narendra Nagar	Available	Narendra Infra
P0201	Hingna Road Tech Homes	Apartment	1	2500000	3300000	Nagpur	Maharashtra	Hingna Road	Available	TechBuild
P0202	Hingna Road Tech Homes Plus	Apartment	2	3500000	4800000	Nagpur	Maharashtra	Hingna Road	Available	TechBuild
P0203	Hingna Road Tech Villas	Villa	3	7800000	9800000	Nagpur	Maharashtra	Hingna Road	Available	TechBuild
P0204	Mahalaxmi Nagar Flats	Apartment	2	3900000	5200000	Nagpur	Maharashtra	Mahalaxmi Nagar	Available	Mahalaxmi Infra
P0205	Mahalaxmi Nagar Elite	Apartment	3	6100000	8200000	Nagpur	Maharashtra	Mahalaxmi Nagar	Available	Mahalaxmi Infra
P0206	Somalwada Residency	Apartment	2	4100000	5600000	Nagpur	Maharashtra	Somalwada	Available	Somalwada Group
P0207	Somalwada Residency Plus	Apartment	3	6400000	8700000	Nagpur	Maharashtra	Somalwada	Available	Somalwada Group
P0208	Bajaj Nagar Comfort Homes	Apartment	1	2700000	3500000	Nagpur	Maharashtra	Bajaj Nagar	Available	Comfort Builders
P0209	Bajaj Nagar Comfort Plus	Apartment	2	3700000	4900000	Nagpur	Maharashtra	Bajaj Nagar	Available	Comfort Builders
P0210	Bajaj Nagar Comfort Elite	Apartment	3	5900000	7800000	Nagpur	Maharashtra	Bajaj Nagar	Available	Comfort Builders
P0211	Rosetta Stone Honey Hills Villa	Villa	2	5120000	5120000	Nagpur	Maharashtra	Amravati Road	Available	Honey Hills Infra
P0212	Om Shiv Kailasa	Apartment	2.5	4780000	6780000	Nagpur	Maharashtra	Wardha Road	Available	Om Shiv Builders
P0213	MIHAN Residency Phase 1	Apartment	2	3800000	5200000	Nagpur	Maharashtra	MIHAN	Upcoming	MIHAN Developers
P0214	MIHAN Residency Phase 2	Apartment	3	5200000	7200000	Nagpur	Maharashtra	MIHAN	Available	MIHAN Developers
P0215	Trimurti Nagar Heights	Apartment	2	4200000	5800000	Nagpur	Maharashtra	Trimurti Nagar	Available	Trimurti Group
P0216	Manish Nagar Elite	Apartment	3	6000000	8200000	Nagpur	Maharashtra	Manish Nagar	Available	Elite Builders
